year	total	v1abs	v2abs	v1rel	v2rel
1982	96.0	1.0	95.0	0.010416666666666666	0.9895833333333334
1983	94.0	2.0	92.0	0.02127659574468085	0.9787234042553191
1984	77.0	1.0	76.0	0.012987012987012988	0.987012987012987
1985	94.0	1.0	93.0	0.010638297872340425	0.9893617021276596
1986	106.0	2.0	104.0	0.018867924528301886	0.9811320754716981
1987	127.0	2.0	125.0	0.015748031496062992	0.984251968503937
1988	157.0	2.0	155.0	0.012738853503184714	0.9872611464968153
1989	167.0	2.0	165.0	0.011976047904191617	0.9880239520958084
1990	284.0	2.0	282.0	0.007042253521126761	0.9929577464788732
1991	297.0	3.0	294.0	0.010101010101010102	0.98989898989899
1992	475.0	2.0	473.0	0.004210526315789474	0.9957894736842106
1993	505.0	5.0	500.0	0.009900990099009901	0.9900990099009901
1994	822.0	7.0	815.0	0.00851581508515815	0.9914841849148418
1995	1465.0	21.0	1444.0	0.014334470989761093	0.985665529010239
1996	1522.0	18.0	1504.0	0.011826544021024968	0.988173455978975
1997	1631.0	28.0	1603.0	0.017167381974248927	0.9828326180257511
1998	1992.0	20.0	1972.0	0.010040160642570281	0.9899598393574297
1999	2478.0	29.0	2449.0	0.011702986279257466	0.9882970137207425
2000	2914.0	32.0	2882.0	0.01098146877144818	0.9890185312285518
2001	4209.0	61.0	4148.0	0.014492753623188406	0.9855072463768116
2002	9680.0	123.0	9557.0	0.012706611570247934	0.9872933884297521
2003	9168.0	173.0	8995.0	0.01886998254799302	0.981130017452007
2004	10906.0	157.0	10749.0	0.014395745461214011	0.985604254538786
2005	12682.0	201.0	12481.0	0.015849235136413814	0.9841507648635862
2006	14859.0	193.0	14666.0	0.012988761020257084	0.987011238979743
2007	15839.0	182.0	15657.0	0.011490624408106572	0.9885093755918934
2008	20592.0	229.0	20363.0	0.01112082362082362	0.9888791763791763
2009	23817.0	397.0	23420.0	0.01666876600747365	0.9833312339925263
2010	35586.0	467.0	35119.0	0.013123138312819648	0.9868768616871804
2011	27644.0	486.0	27158.0	0.017580668499493562	0.9824193315005064
2012	25923.0	408.0	25515.0	0.015738919106584887	0.9842610808934151
2013	27252.0	280.0	26972.0	0.010274475267870248	0.9897255247321297
2014	29029.0	481.0	28548.0	0.016569637259292433	0.9834303627407076
2015	32625.0	503.0	32122.0	0.015417624521072797	0.9845823754789272
2016	33064.0	336.0	32728.0	0.010162109847568353	0.9898378901524316
2017	34926.0	406.0	34520.0	0.0116245776785203	0.9883754223214797
2018	38068.0	463.0	37605.0	0.012162446148996532	0.9878375538510035
2019	38357.0	735.0	37622.0	0.01916208254034466	0.9808379174596553
2020	33144.0	444.0	32700.0	0.013396089790007242	0.9866039102099927
2021	35343.0	384.0	34959.0	0.01086495204142263	0.9891350479585773
2022	36452.0	478.0	35974.0	0.013113135081751345	0.9868868649182486
2023	32377.0	388.0	31989.0	0.011983815671618742	0.9880161843283812
2024	27343.0	313.0	27030.0	0.011447171122407928	0.9885528288775921
2025	28125.0	244.0	27881.0	0.008675555555555556	0.9913244444444445
2026	14416.0	183.0	14233.0	0.012694228634850167	0.9873057713651499
