year	total	v1abs	v2abs	v1rel	v2rel
1988	30.0	0.0	30.0	0.0	1.0
1989	32.0	0.0	32.0	0.0	1.0
1990	90.0	1.0	89.0	0.011111111111111112	0.9888888888888889
1991	83.0	0.0	83.0	0.0	1.0
1992	125.0	0.0	125.0	0.0	1.0
1993	136.0	1.0	135.0	0.007352941176470588	0.9926470588235294
1994	263.0	2.0	261.0	0.0076045627376425855	0.9923954372623575
1995	504.0	12.0	492.0	0.023809523809523808	0.9761904761904762
1996	507.0	2.0	505.0	0.0039447731755424065	0.9960552268244576
1997	560.0	3.0	557.0	0.005357142857142857	0.9946428571428572
1998	616.0	5.0	611.0	0.008116883116883116	0.9918831168831169
1999	841.0	7.0	834.0	0.008323424494649227	0.9916765755053508
2000	1034.0	13.0	1021.0	0.012572533849129593	0.9874274661508704
2001	1321.0	23.0	1298.0	0.0174110522331567	0.9825889477668432
2002	3353.0	45.0	3308.0	0.013420817178645988	0.986579182821354
2003	2811.0	57.0	2754.0	0.020277481323372464	0.9797225186766275
2004	3451.0	38.0	3413.0	0.011011301072153	0.988988698927847
2005	3716.0	61.0	3655.0	0.016415500538213133	0.9835844994617868
2006	3589.0	34.0	3555.0	0.009473390916689885	0.9905266090833101
2007	3978.0	48.0	3930.0	0.012066365007541479	0.9879336349924586
2008	4911.0	47.0	4864.0	0.009570352270413357	0.9904296477295866
2009	5841.0	56.0	5785.0	0.009587399417907892	0.9904126005820921
2010	8234.0	70.0	8164.0	0.008501335924216662	0.9914986640757834
2011	7129.0	71.0	7058.0	0.009959321082900827	0.9900406789170991
2012	6348.0	35.0	6313.0	0.005513547574039068	0.9944864524259609
2013	6325.0	36.0	6289.0	0.005691699604743083	0.994308300395257
2014	7152.0	117.0	7035.0	0.016359060402684564	0.9836409395973155
2015	7848.0	56.0	7792.0	0.007135575942915392	0.9928644240570846
2016	7280.0	59.0	7221.0	0.008104395604395605	0.9918956043956044
2017	8143.0	80.0	8063.0	0.009824389045806214	0.9901756109541938
2018	8699.0	262.0	8437.0	0.030118404414300495	0.9698815955856995
2019	8004.0	113.0	7891.0	0.014117941029485258	0.9858820589705147
2020	7861.0	87.0	7774.0	0.01106729423737438	0.9889327057626256
2021	8218.0	72.0	8146.0	0.008761255779995133	0.9912387442200049
2022	8029.0	83.0	7946.0	0.010337526466558725	0.9896624735334413
2023	6983.0	84.0	6899.0	0.01202921380495489	0.9879707861950451
2024	6282.0	76.0	6206.0	0.012098057943330149	0.9879019420566698
2025	7264.0	53.0	7211.0	0.00729625550660793	0.992703744493392
2026	3696.0	25.0	3671.0	0.006764069264069264	0.9932359307359307
