year	total	v1abs	v2abs	v1rel	v2rel
1981	22.0	20.0	2.0	0.9090909090909091	0.09090909090909091
1982	94.0	89.0	5.0	0.9468085106382979	0.05319148936170213
1983	122.0	113.0	9.0	0.9262295081967213	0.07377049180327869
1984	126.0	121.0	5.0	0.9603174603174603	0.03968253968253968
1985	231.0	222.0	9.0	0.961038961038961	0.03896103896103896
1986	175.0	166.0	9.0	0.9485714285714286	0.05142857142857143
1987	168.0	166.0	2.0	0.9880952380952381	0.011904761904761904
1988	164.0	150.0	14.0	0.9146341463414634	0.08536585365853659
1989	224.0	204.0	20.0	0.9107142857142857	0.08928571428571429
1990	277.0	264.0	13.0	0.9530685920577617	0.04693140794223827
1991	285.0	269.0	16.0	0.9438596491228071	0.056140350877192984
1992	333.0	314.0	19.0	0.9429429429429429	0.057057057057057055
1993	356.0	341.0	15.0	0.9578651685393258	0.042134831460674156
1994	486.0	462.0	24.0	0.9506172839506173	0.04938271604938271
1995	880.0	828.0	52.0	0.9409090909090909	0.05909090909090909
1996	846.0	797.0	49.0	0.942080378250591	0.057919621749408984
1997	1121.0	1066.0	55.0	0.9509366636931311	0.04906333630686887
1998	1118.0	1072.0	46.0	0.9588550983899821	0.04114490161001789
1999	1523.0	1456.0	67.0	0.9560078791858174	0.043992120814182537
2000	1904.0	1807.0	97.0	0.9490546218487395	0.050945378151260504
2001	2885.0	2709.0	176.0	0.9389948006932409	0.0610051993067591
2002	8689.0	7130.0	1559.0	0.820577741972609	0.17942225802739095
2003	7639.0	7244.0	395.0	0.9482916612122005	0.05170833878779945
2004	10673.0	10132.0	541.0	0.9493113463880821	0.050688653611917926
2005	12454.0	11848.0	606.0	0.9513409346394732	0.04865906536052674
2006	13124.0	12676.0	448.0	0.9658640658335873	0.03413593416641268
2007	14353.0	13698.0	655.0	0.9543649411272904	0.045635058872709536
2008	18013.0	17108.0	905.0	0.9497585077444068	0.050241492255593184
2009	20571.0	19681.0	890.0	0.9567352097613144	0.04326479023868553
2010	23571.0	22327.0	1244.0	0.947223282847567	0.052776717152433074
2011	21076.0	19884.0	1192.0	0.9434427785158475	0.05655722148415259
2012	19234.0	18481.0	753.0	0.9608505771030467	0.03914942289695331
2013	20515.0	19634.0	881.0	0.9570558128198879	0.042944187180112114
2014	21338.0	20658.0	680.0	0.968131971131315	0.03186802886868498
2015	20118.0	19311.0	807.0	0.9598866686549359	0.04011333134506412
2016	20451.0	19591.0	860.0	0.9579482665884309	0.04205173341156911
2017	24868.0	23674.0	1194.0	0.9519864886601255	0.04801351133987454
2018	24862.0	23841.0	1021.0	0.9589333118815864	0.041066688118413644
2019	23052.0	22072.0	980.0	0.9574874197466597	0.042512580253340274
2020	29919.0	28804.0	1115.0	0.9627327116548013	0.037267288345198706
2021	27520.0	26343.0	1177.0	0.9572311046511628	0.04276889534883721
2022	23168.0	22157.0	1011.0	0.956362223756906	0.04363777624309392
2023	21839.0	21041.0	798.0	0.9634598653784514	0.036540134621548606
2024	19405.0	18483.0	922.0	0.952486472558619	0.047513527441381084
2025	23543.0	22909.0	634.0	0.9730705517563607	0.026929448243639298
2026	11963.0	11681.0	282.0	0.9764273175624844	0.023572682437515674
