word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
Σ	16014		16	154	161	262	395	534	657	611	658	892	1093	1336	1539	1547	1400	1186	1214	986	901	472
börjar bli	2073	0.129449231922068	1	14	22	42	55	66	74	97	84	95	142	179	203	195	190	153	153	114	127	67
börjar gälla	996	0.191644810790558	0	9	16	24	28	31	49	34	39	43	48	74	82	68	73	93	121	68	62	34
börjar ta	554	0.226239540402148	1	6	6	6	12	29	29	22	19	37	37	46	49	46	44	28	46	40	34	17
börjar närma	464	0.255214187585862	0	3	5	6	8	14	17	17	18	30	18	33	44	41	39	33	42	34	40	22
börjar få	463	0.284126389409267	0	5	7	8	16	18	22	20	12	18	38	30	43	45	44	39	25	24	34	15
börjar brinna	461	0.312913700512052	0	6	2	9	9	21	15	17	18	24	17	38	63	50	57	41	22	22	21	9
börjar komma	438	0.340264768327713	0	2	4	3	6	13	13	13	9	34	29	39	33	55	39	26	47	39	24	10
börjar gå	303	0.359185712501561	1	3	3	2	7	9	8	19	21	13	17	21	29	30	22	23	21	27	19	8
börjar se	301	0.37798176595479	0	3	2	4	3	10	16	13	12	22	12	27	21	19	33	27	26	27	16	8
börjar jobba	259	0.394155114275009	0	3	3	6	14	4	10	5	9	9	12	30	28	39	24	20	19	8	9	7
börjar prata	179	0.405332833770451	0	1	0	0	1	3	5	2	5	7	14	21	14	31	25	21	8	7	9	5
börjar använda	156	0.415074309978769	0	1	0	1	0	9	10	8	11	13	8	15	15	14	13	10	11	7	7	3
